occupation_id,occupation
242,Administration Professionals
334,Administrative and Specialized Secretaries
921,"Agricultural, Forestry and Fishery Labourers"
612,Animal Producers
216,"Architects, Planners, Surveyors and Designers"
343,"Artistic, Cultural and Culinary Associate Professionals"
821,Assemblers
264,"Authors, Journalists and Linguists"
722,"Blacksmiths, Toolmakers and Related Trades Workers"
515,Building and Housekeeping Supervisors
712,Building Finishers and Related Trades Workers
711,Building Frame and Related Trades Workers
333,Business Services Agents
121,Business Services and Administration Managers
832,"Car, Van and Motorcycle Drivers"
523,Cashiers and Ticket Clerks
813,Chemical and Photographic Products Plant and Machine Operators
531,Child Care Workers and Teachers Aides
422,Client Information Workers
512,Cooks
265,Creative and Performing Artists
252,Database and Network Professionals
911,"Domestic, Hotel and Office Cleaners and Helpers"
741,Electrical Equipment Installers and Repairers
742,Electronics and Telecommunications Installers and Repairers
215,Electrotechnology Engineers
214,Engineering Professionals (excluding Electrotechnology)
241,Finance Professionals
331,Financial and Mathematical Associate Professionals
622,"Fishery Workers, Hunters and Trappers"
816,Food and Related Products Machine Operators
941,Food Preparation Assistants
751,Food Processing and Related Trades Workers
621,Forestry and Related Workers
753,Garment and Related Trades Workers
411,General Office Clerks
335,Government regulatory associate professionals
514,"Hairdressers, Beauticians and Related Workers"
731,Handicraft Workers
833,Heavy Truck and Bus Drivers
141,Hotel and Restaurant Managers
351,Information and Communications Technology Operations and User Support Technicians
133,Information and Communications Technology Services Managers
413,Keyboard Operators
261,Legal Professionals
341,"Legal, Social and Religious Associate Professionals"
111,Legislators and Senior Officials
262,"Librarians, Archivists and Curators "
213,Life Science Professionals
314,Life Science Technicians and Related Associate Professionals
831,Locomotive Engine Drivers and Related Workers
723,Machinery Mechanics and Repairers
112,Managing Directors and Chief Executives
932,Manufacturing Labourers
132,"Manufacturing, Mining, Construction and Distribution Managers"
611,Market Gardeners and Crop Growers
432,Material recording and Transport Clerks
212,"Mathematicians, Actuaries and Statisticians"
321,Medical and Pharmaceutical Technicians
221,Medical Doctors
812,Metal Processing and Finishing Plant Operators
931,Mining and Construction Labourers
811,Mining and Mineral Processing Plant Operators
312,"Mining, Manufacturing and Construction Supervisors"
613,Mixed Crop and Animal Producers
834,Mobile Plant Operators
431,Numerical Clerks
322,Nursing and Midwifery Associate Professionals
222,Nursing and Midwifery Professionals
441,Other Clerical Support Workers
754,Other Craft and Related Workers
962,Other Elementary Workers
325,Other Health Associate Professionals
226,Other Health Professionals
516,Other Personal Services Workers
524,Other Sales Workers
143,Other Services Managers
818,Other Stationary Plant and Machine Operators
235,Other Teaching Professionals
713,"Painters, Building Structure Cleaners and Related Trades Workers"
224,Paramedical Practitioners
532,Personal Care Workers in Health Services
211,Physical and Earth Science Professionals
311,Physical and Engineering Science Technicians
234,Primary School and Early Childhood Teachers
732,Printing Trades Workers
313,Process Control Technicians
131,"Production Managers in Agriculture, Forestry and Fisheries"
134,Professional Services Managers
541,Protective Services Workers
961,Refuse Workers
142,Retail and Wholesale Trade Managers
814,"Rubber, Plastic and Paper Products Machine Operators"
332,Sales and Purchasing Agents and Brokers
122,"Sales, Marketing and Development Managers"
243,"Sales, Marketing and Public Relations Professionals"
233,Secondary Education Teachers
412,Secretaries (general)
721,"Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers"
315,Ship and Aircraft Controllers and Technicians
835,Ships Deck Crews and Related Workers
522,Shop Salespersons 
263,Social and Religious Professionals
251,Software and Applications Developers and Analysts
342,Sports and Fitness Workers
521,Street and Market Salespersons
952,Street Vendors (excluding Food)
631,Subsistence Crop Farmers
632,Subsistence Livestock Farmers
633,Subsistence Mixed Crop and Livestock Farmers
352,Telecommunications and Broadcasting Technicians
421,"Tellers, Money Collectors and Related Clerks"
815,"Textile, Fur and Leather Products Machine Operators"
323,Traditional and Complementary Medicine Associate Professionals
223,Traditional and Complementary Medicine Professionals
933,Transport and Storage Labourers
511,"Travel Attendants, Conductors and Guides"
231,University and Higher Education Teachers
912,"Vehicle, Window, Laundry and Other Hand Cleaning Workers"
225,Veterinarians
324,Veterinary Technicians and Assistants
232,Vocational Education Teachers
513,Waiters and Bartenders
817,Wood Processing and Papermaking Plant Operators
752,"Wood Treaters, Cabinet-makers and Related Trades Workers"
