party1,party2,begin_datetime,end_datetime,avg_distance
42,55,2021-10-01 05:41:03,2021-10-01 06:19:11,6.05879
82,81,2020-12-22 04:24:01,2020-12-22 04:32:28,9.77886
75,97,2020-10-28 07:46:29,2020-10-28 09:49:37,9.30309
124,37,2020-08-13 07:00:11,2020-08-13 08:21:39,0.95730
84,82,2020-07-13 20:15:26,2020-07-13 20:37:56,2.34020
14,57,2020-08-03 15:18:48,2020-08-03 16:17:33,7.57666
14,103,2021-11-25 00:06:24,2021-11-25 00:13:19,7.78820
123,66,2021-11-08 05:14:16,2021-11-08 05:58:55,1.66359
92,48,2020-12-10 01:11:59,2020-12-10 03:46:49,2.12077
91,109,2021-03-15 01:56:31,2021-03-15 02:53:47,0.36436
35,105,2020-08-09 14:29:36,2020-08-09 15:37:30,2.18041
68,26,2020-05-20 07:43:37,2020-05-20 09:20:11,9.62980
64,62,2021-11-17 10:11:33,2021-11-17 12:45:38,5.64491
29,123,2020-11-05 04:27:43,2020-11-05 04:43:48,0.64672
116,21,2020-08-14 01:41:14,2020-08-14 02:52:36,3.38206
27,95,2020-10-06 13:15:19,2020-10-06 13:55:39,7.24703
77,114,2021-09-11 17:18:43,2021-09-11 19:16:42,4.38709
8,13,2021-01-20 19:57:48,2021-01-20 20:44:30,7.48725
89,71,2021-09-24 16:04:46,2021-09-24 18:45:15,8.82885
115,53,2020-06-01 22:49:55,2020-06-02 00:59:56,6.59564
112,8,2021-07-21 23:42:03,2021-07-22 01:10:15,6.88243
119,22,2020-10-19 04:42:26,2020-10-19 07:13:57,7.43978
61,97,2021-02-13 20:53:13,2021-02-13 21:10:23,1.60610
69,96,2020-12-01 07:58:01,2020-12-01 08:42:33,4.80279
93,21,2020-05-28 13:13:55,2020-05-28 13:46:19,3.78502
23,80,2020-08-07 22:34:25,2020-08-07 23:36:01,6.60512
39,31,2021-02-21 17:10:11,2021-02-21 17:25:34,3.27544
64,60,2021-08-31 05:04:50,2021-08-31 06:18:23,5.14240
53,25,2021-05-14 01:53:05,2021-05-14 02:05:04,8.68083
68,116,2021-09-17 00:36:35,2021-09-17 00:56:09,5.04485
6,23,2020-11-24 10:22:30,2020-11-24 12:32:06,4.97178
115,3,2021-08-10 05:41:24,2021-08-10 07:45:31,5.65106
7,106,2020-12-07 05:48:17,2020-12-07 07:16:29,0.73784
86,58,2021-02-27 20:32:48,2021-02-27 22:51:05,4.81536
44,113,2021-06-24 11:07:18,2021-06-24 13:37:15,0.70417
30,75,2021-07-28 23:34:07,2021-07-29 01:11:42,5.16140
22,117,2020-07-28 18:05:41,2020-07-28 20:12:54,9.72527
117,114,2020-11-02 02:42:11,2020-11-02 04:51:27,8.72730
121,125,2020-10-12 04:39:04,2020-10-12 05:21:25,1.30801
15,60,2020-12-27 12:00:44,2020-12-27 14:20:37,8.28732
47,16,2020-12-31 16:34:41,2020-12-31 18:21:27,1.68897
16,62,2020-06-29 18:34:16,2020-06-29 19:10:29,1.92488
10,18,2021-04-13 03:24:12,2021-04-13 04:25:24,3.61641
43,1,2021-03-07 13:03:53,2021-03-07 15:10:49,4.23761
73,86,2021-10-30 11:06:24,2021-10-30 12:01:38,9.38666
68,6,2020-11-11 14:01:14,2020-11-11 16:36:23,6.79402
59,113,2021-09-11 08:47:06,2021-09-11 11:32:35,3.62832
115,18,2021-06-22 08:27:51,2021-06-22 10:23:20,8.71432
60,62,2021-06-23 07:57:28,2021-06-23 09:24:43,0.29041
105,114,2020-12-24 20:30:38,2020-12-24 22:39:23,7.36458
23,33,2021-11-12 01:11:17,2021-11-12 01:24:26,4.90203
4,20,2021-05-03 20:38:01,2021-05-03 21:31:35,9.81291
57,76,2021-03-01 17:41:30,2021-03-01 18:21:31,9.89994
97,105,2021-01-16 12:33:16,2021-01-16 12:44:40,9.81116
101,45,2021-07-27 16:49:39,2021-07-27 18:21:59,8.43865
114,11,2020-06-21 01:39:54,2020-06-21 01:42:24,7.42736
1,82,2020-10-20 01:16:18,2020-10-20 03:36:36,4.62048
6,54,2021-01-12 21:09:46,2021-01-12 22:58:54,9.19917
82,47,2021-09-28 04:05:19,2021-09-28 04:15:31,4.47569
36,122,2020-11-11 17:37:57,2020-11-11 19:48:14,0.47688
123,62,2020-11-25 07:25:13,2020-11-25 09:41:11,8.31405
33,17,2021-03-07 02:24:08,2021-03-07 04:44:13,5.11462
122,106,2021-01-19 12:03:52,2021-01-19 13:44:45,3.52617
39,106,2020-09-12 11:17:50,2020-09-12 12:57:37,3.87194
46,117,2020-12-05 21:37:59,2020-12-05 22:56:58,6.70389
13,33,2021-03-29 17:16:48,2021-03-29 18:02:15,7.98530
86,70,2020-10-12 21:01:36,2020-10-12 22:00:07,4.36548
32,105,2020-10-03 10:53:16,2020-10-03 12:32:43,8.31858
19,26,2021-09-28 11:33:50,2021-09-28 11:35:33,4.66329
85,48,2020-05-19 07:11:43,2020-05-19 07:36:43,5.26405
79,59,2021-02-10 03:16:52,2021-02-10 03:49:06,0.16340
61,45,2021-01-29 14:45:49,2021-01-29 16:33:41,9.93239
66,123,2020-09-16 03:05:17,2020-09-16 05:48:10,0.14705
20,119,2021-05-25 05:03:27,2021-05-25 06:25:18,2.71040
15,100,2021-10-03 10:00:51,2021-10-03 12:04:26,5.51409
